seconds, time, density, practical_salinity, seawater_temperature
3745671558.57, 16:19:18, 1034.770297, 34.516475, 2.434971
3745671559.58, 16:19:19, 1034.770220, 34.516421, 2.435025
3745671560.60, 16:19:20, 1034.770193, 34.516360, 2.435079
3745671561.61, 16:19:21, 1034.770194, 34.516360, 2.435079
3745671562.62, 16:19:22, 1034.770244, 34.516407, 2.434971
3745671563.63, 16:19:23, 1034.770298, 34.516475, 2.434971
3745671564.65, 16:19:24, 1034.770087, 34.516224, 2.435079
3745671565.66, 16:19:25, 1034.770214, 34.516325, 2.434917
3745671566.67, 16:19:26, 1034.770163, 34.516331, 2.434917
3745671567.68, 16:19:27, 1034.770190, 34.516339, 2.434971
3745671568.70, 16:19:28, 1034.770009, 34.516170, 2.435133
3745671569.71, 16:19:29, 1034.769979, 34.516089, 2.435079
3745671570.72, 16:19:30, 1034.770190, 34.516339, 2.434971
3745671571.73, 16:19:31, 1034.770139, 34.516293, 2.435079
3745671572.75, 16:19:32, 1034.769980, 34.516099, 2.435133
3745671573.76, 16:19:33, 1034.770057, 34.516154, 2.435079
3745671574.77, 16:19:34, 1034.770189, 34.516339, 2.434971
3745671575.79, 16:19:35, 1034.769957, 34.516113, 2.435186
3745671576.80, 16:19:36, 1034.770063, 34.516238, 2.435133
3745671577.81, 16:19:37, 1034.770033, 34.516156, 2.435079
3745671578.82, 16:19:38, 1034.769956, 34.516102, 2.435133
3745671579.84, 16:19:39, 1034.770088, 34.516235, 2.435133
3745671580.85, 16:19:40, 1034.769980, 34.516099, 2.435133
3745671581.86, 16:19:41, 1034.770087, 34.516235, 2.435133
3745671582.87, 16:19:42, 1034.770193, 34.516361, 2.435079
3745671583.89, 16:19:43, 1034.770061, 34.516228, 2.435079
3745671584.90, 16:19:44, 1034.770247, 34.516428, 2.435079
3745671585.91, 16:19:45, 1034.770194, 34.516360, 2.435079
3745671586.93, 16:19:46, 1034.770119, 34.516317, 2.435186
3745671587.94, 16:19:47, 1034.769961, 34.516134, 2.435294
3745671588.95, 16:19:48, 1034.770196, 34.516382, 2.435186
3745671589.96, 16:19:49, 1034.770089, 34.516246, 2.435186
3745671590.98, 16:19:50, 1034.770062, 34.516186, 2.435240
